PEGASUS_TIMESERIES_FILE_003
ObjectKey,B04
VariableKey,Audit
2025-07-23T20:03:52.6151264,,Component=Bioreactor 4]];[[Action=Turned off control loop 'A. niger 30%PER% DO Feed' for DO.SP]];[[IsOk=Y]];[[Batch=CJ1270
2025-07-23T20:03:52.6151264,,Component=Bioreactor 4]];[[Action=Turned off control loop 'A. niger 30%PER% DO Feed - 60s integral' for DO.SP]];[[IsOk=Y]];[[Batch=CJ1270
2025-07-23T20:03:52.6151264,,Component=Bioreactor 4]];[[Action=Turned off control loop 'A. niger 30%PER% DO Feed - lower minimum' for DO.SP]];[[IsOk=Y]];[[Batch=CJ1270
2025-07-23T20:03:52.6151264,,Component=Bioreactor 4]];[[Action=Turned off control loop 'do_o2_f1_mult - 30%PER%' for DO.SP]];[[IsOk=Y]];[[Batch=CJ1270
2025-07-23T20:03:52.6151264,,Component=Bioreactor 4]];[[Action=Turned off control loop 'do_o2_f2_mult - 30%PER%' for DO.SP]];[[IsOk=Y]];[[Batch=CJ1270
2025-07-23T20:03:52.6151264,,Component=Bioreactor 4]];[[Action=Turned off control loop 'do_o2_f2_mult - 30%PER%_Copy' for DO.SP]];[[IsOk=Y]];[[Batch=CJ1270
2025-07-23T20:03:52.6151264,,Component=Bioreactor 4]];[[Action=Turned off control loop 'do_o2_f3_mult - 30%PER%' for DO.SP]];[[IsOk=Y]];[[Batch=CJ1270
2025-07-23T20:03:52.6151264,,Component=Bioreactor 4]];[[Action=Turned off control loop 'do_stir' for DO.SP]];[[IsOk=Y]];[[Batch=CJ1270
2025-07-23T20:03:52.6151264,,Component=Bioreactor 4]];[[Action=Turned off control loop 'do_stir - 10%PER% DO' for DO.SP]];[[IsOk=Y]];[[Batch=CJ1270
2025-07-23T20:03:52.6181268,,Component=Bioreactor 4]];[[Action=Turned off control loop 'do_stir - 10%PER% DO - 500-1700' for DO.SP]];[[IsOk=Y]];[[Batch=CJ1270
2025-07-23T20:03:52.6181268,,Component=Bioreactor 4]];[[Action=Turned off control loop 'do_stir - 10%PER% DO - 500-2000' for DO.SP]];[[IsOk=Y]];[[Batch=CJ1270
2025-07-23T20:03:52.6181268,,Component=Bioreactor 4]];[[Action=Turned off control loop 'do_stir - 10%PER% DO - 700 seed' for DO.SP]];[[IsOk=Y]];[[Batch=CJ1270
2025-07-23T20:03:52.6181268,,Component=Bioreactor 4]];[[Action=Turned off control loop 'do_stir - 10%PER% DO - 1800' for DO.SP]];[[IsOk=Y]];[[Batch=CJ1270
2025-07-23T20:03:52.6181268,,Component=Bioreactor 4]];[[Action=Turned off control loop 'do_stir - 10%PER% DO - 2000' for DO.SP]];[[IsOk=Y]];[[Batch=CJ1270
2025-07-23T20:03:52.6181268,,Component=Bioreactor 4]];[[Action=Turned off control loop 'do_stir - 10%PER% DO -2200' for DO.SP]];[[IsOk=Y]];[[Batch=CJ1270
2025-07-23T20:03:52.6181268,,Component=Bioreactor 4]];[[Action=Turned off control loop 'do_stir - 20%PER% do - aeration agitation' for DO.SP]];[[IsOk=Y]];[[Batch=CJ1270
2025-07-23T20:03:52.6181268,,Component=Bioreactor 4]];[[Action=Turned off control loop 'do_stir - Copy' for DO.SP]];[[IsOk=Y]];[[Batch=CJ1270
